Obszar metropolitalny,podregion NTS3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,m. Lodz,5.2,1.9,4.1,3.7,2.3,3.2,3.6,3.7,3.5,3.6,3.5,3.2,3.3,3.3,3.2,3.1,3.0,2.9,2.9,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2,lodzki,5.2,1.9,4.1,3.7,2.3,3.2,3.6,3.7,3.5,3.6,3.5,3.2,3.3,3.3,3.2,3.1,3.0,2.9,2.9,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
3,piotrkowski,4.9,1.8,3.9,3.6,2.2,3.0,3.3,3.3,3.2,3.3,3.2,2.9,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.1,2.1,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
4,sieradzki,4.9,1.8,3.9,3.6,2.2,3.0,3.3,3.3,3.2,3.3,3.2,2.9,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.1,2.1,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
5,skierniewicki,4.9,1.8,3.9,3.6,2.2,3.0,3.3,3.3,3.2,3.3,3.2,2.9,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.1,2.1,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
6,m. st. Warszawa,5.9,2.2,4.7,4.4,2.7,3.7,4.2,4.3,4.1,4.2,4.1,3.8,3.8,3.9,3.8,3.7,3.6,3.4,3.4,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.1,3.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
7,warszawski wschodni,5.9,2.2,4.7,4.4,2.7,3.7,4.2,4.3,4.1,4.2,4.1,3.8,3.8,3.9,3.8,3.7,3.6,3.4,3.4,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.1,3.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
8,warszawski zachodni,5.9,2.2,4.7,4.4,2.7,3.7,4.2,4.3,4.1,4.2,4.1,3.8,3.8,3.9,3.8,3.7,3.6,3.4,3.4,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.1,3.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
9,ciechanowsko-plocki,5.6,2.1,4.4,4.1,2.6,3.5,3.8,3.9,3.7,3.8,3.7,3.4,3.4,3.4,3.3,3.2,3.1,3.0,3.0,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
10,ostrolecko-siedlecki,5.6,2.1,4.4,4.1,2.6,3.5,3.8,3.9,3.7,3.8,3.7,3.4,3.4,3.4,3.3,3.2,3.1,3.0,3.0,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
